rank,track_name,artist,listeners,url,pct_listeners
1,Don’t Say You Love Me,Jin,2312,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,1.38
2,Killin' It Girl (feat. GloRilla),j-hope,1866,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),1.11
3,Who,Jimin,1811,https://www.last.fm/music/Jimin/_/Who,1.08
4,Mona Lisa,j-hope,1781,https://www.last.fm/music/j-hope/_/Mona+Lisa,1.06
5,Life Goes On,BTS,1626,https://www.last.fm/music/BTS/_/Life+Goes+On,0.97
6,Haegeum,Agust D,1601,https://www.last.fm/music/Agust+D/_/Haegeum,0.96
7,QLOO*,Young Cister,1577,https://www.last.fm/music/Young+Cister/_/QLOO%2A,0.94
8,Gabriela,KATSEYE,1568,https://www.last.fm/music/KATSEYE/_/Gabriela,0.94
9,Wild Flower (with youjeen),RM,1560,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),0.93
10,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1504,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),0.9
11,The Fate of Ophelia,Taylor Swift,1401,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,0.84
12,Standing Next to You,Jung Kook,1376,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,0.82
13,Running Wild,Jin,1363,https://www.last.fm/music/Jin/_/Running+Wild,0.81
14,Winter Ahead (with PARK HYO SHIN),V,1353,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),0.81
15,BAILE INoLVIDABLE,Bad Bunny,1344,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,0.8
16,FRI(END)S,V,1337,https://www.last.fm/music/V/_/FRI(END)S,0.8
17,EoO,Bad Bunny,1324,https://www.last.fm/music/Bad+Bunny/_/EoO,0.79
18,DNA,BTS,1243,https://www.last.fm/music/BTS/_/DNA,0.74
19,FAKE LOVE,BTS,1222,https://www.last.fm/music/BTS/_/FAKE+LOVE,0.73
20,Yes or No,Jung Kook,1212,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,0.72
21,Gnarly,KATSEYE,1201,https://www.last.fm/music/KATSEYE/_/Gnarly,0.72
22,Tears,Sabrina Carpenter,1187,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0.71
23,Sweet Dreams (feat. Miguel),j-hope,1185,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),0.71
24,Qué Pasaría...,Rauw Alejandro,1171,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,0.7
25,Stop The Rain (TABLO X RM),Tablo,1152,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),0.69
26,3D (feat. Jack Harlow),Jung Kook,1128,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),0.67
27,Golden,HUNTR/X,1127,https://www.last.fm/music/HUNTR%2FX/_/Golden,0.67
28,VOY A LLeVARTE PA PR,Bad Bunny,1094,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,0.65
29,Killin' It Girl (Solo Version),j-hope,1092,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),0.65
30,Run BTS,BTS,1090,https://www.last.fm/music/BTS/_/Run+BTS,0.65
31,Like Crazy,Jimin,1084,https://www.last.fm/music/Jimin/_/Like+Crazy,0.65
32,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1069,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),0.64
33,Loser (feat. YENA),Jin,1053,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),0.63
34,Rope It,Jin,1050,https://www.last.fm/music/Jin/_/Rope+It,0.63
35,Love Me Again,V,1037,https://www.last.fm/music/V/_/Love+Me+Again,0.62
36,i wonder... (with Jung Kook of BTS),j-hope,1037,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),0.62
37,MORE,j-hope,1035,https://www.last.fm/music/j-hope/_/MORE,0.62
38,Dynamite,BTS,1034,https://www.last.fm/music/BTS/_/Dynamite,0.62
39,Nothing Without Your Love,Jin,1030,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,0.61
40,VeLDÁ,Bad Bunny,1029,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,0.61
41,Opalite,Taylor Swift,1018,https://www.last.fm/music/Taylor+Swift/_/Opalite,0.61
42,Super Tuna,Jin,1016,https://www.last.fm/music/Jin/_/Super+Tuna,0.61
43,Seven (feat. Latto),Jung Kook,1015,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),0.61
44,Please Don't Change (feat. DJ Snake),Jung Kook,1002,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),0.6
45,NUEVAYoL,Bad Bunny,943,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,0.56
46,Sienna,The Marías,939,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0.56
47,Background,Jin,923,https://www.last.fm/music/Jin/_/Background,0.55
48,Heart on the Window (with WENDY),Jin,918,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),0.55
49,LOST!,RM,915,https://www.last.fm/music/RM/_/LOST%21,0.55
50,Interlude : Showtime,Jimin,913,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,0.54
