rank,track_name,artist,listeners,url,pct_listeners
1,Don’t Say You Love Me,Jin,2351,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,1.36
2,Killin' It Girl (feat. GloRilla),j-hope,1983,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),1.15
3,Mona Lisa,j-hope,1891,https://www.last.fm/music/j-hope/_/Mona+Lisa,1.1
4,Who,Jimin,1850,https://www.last.fm/music/Jimin/_/Who,1.07
5,Life Goes On,BTS,1672,https://www.last.fm/music/BTS/_/Life+Goes+On,0.97
6,Gabriela,KATSEYE,1664,https://www.last.fm/music/KATSEYE/_/Gabriela,0.97
7,Haegeum,Agust D,1647,https://www.last.fm/music/Agust+D/_/Haegeum,0.96
8,Wild Flower (with youjeen),RM,1615,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),0.94
9,Spaghetti,LE SSERAFIM,1599,https://www.last.fm/music/LE+SSERAFIM/_/Spaghetti,0.93
10,QLOO*,Young Cister,1571,https://www.last.fm/music/Young+Cister/_/QLOO%2A,0.91
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1540,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),0.89
12,Winter Ahead (with PARK HYO SHIN),V,1430,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),0.83
13,Standing Next to You,Jung Kook,1428,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,0.83
14,Running Wild,Jin,1370,https://www.last.fm/music/Jin/_/Running+Wild,0.8
15,The Fate of Ophelia,Taylor Swift,1368,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,0.79
16,FRI(END)S,V,1365,https://www.last.fm/music/V/_/FRI(END)S,0.79
17,EoO,Bad Bunny,1341,https://www.last.fm/music/Bad+Bunny/_/EoO,0.78
18,BAILE INoLVIDABLE,Bad Bunny,1328,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,0.77
19,DNA,BTS,1327,https://www.last.fm/music/BTS/_/DNA,0.77
20,Sweet Dreams (feat. Miguel),j-hope,1305,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),0.76
21,Yes or No,Jung Kook,1246,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,0.72
22,FAKE LOVE,BTS,1231,https://www.last.fm/music/BTS/_/FAKE+LOVE,0.71
23,Stop The Rain (TABLO X RM),Tablo,1221,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),0.71
24,Gnarly,KATSEYE,1208,https://www.last.fm/music/KATSEYE/_/Gnarly,0.7
25,Tears,Sabrina Carpenter,1185,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0.69
26,Qué Pasaría...,Rauw Alejandro,1182,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,0.69
27,Killin' It Girl (Solo Version),j-hope,1178,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),0.68
28,Golden,HUNTR/X,1135,https://www.last.fm/music/HUNTR%2FX/_/Golden,0.66
29,3D (feat. Jack Harlow),Jung Kook,1132,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),0.66
30,VOY A LLeVARTE PA PR,Bad Bunny,1115,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,0.65
31,Run BTS,BTS,1111,https://www.last.fm/music/BTS/_/Run+BTS,0.65
32,Super Tuna,Jin,1110,https://www.last.fm/music/Jin/_/Super+Tuna,0.64
33,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1109,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),0.64
34,Rope It,Jin,1095,https://www.last.fm/music/Jin/_/Rope+It,0.64
35,MORE,j-hope,1086,https://www.last.fm/music/j-hope/_/MORE,0.63
36,Loser (feat. YENA),Jin,1083,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),0.63
37,i wonder... (with Jung Kook of BTS),j-hope,1080,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),0.63
38,Like Crazy,Jimin,1076,https://www.last.fm/music/Jimin/_/Like+Crazy,0.62
39,Dynamite,BTS,1060,https://www.last.fm/music/BTS/_/Dynamite,0.62
40,Nothing Without Your Love,Jin,1053,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,0.61
41,Please Don't Change (feat. DJ Snake),Jung Kook,1047,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),0.61
42,Seven (feat. Latto),Jung Kook,1042,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),0.6
43,VeLDÁ,Bad Bunny,1033,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,0.6
44,Love Me Again,V,1022,https://www.last.fm/music/V/_/Love+Me+Again,0.59
45,Opalite,Taylor Swift,996,https://www.last.fm/music/Taylor+Swift/_/Opalite,0.58
46,SPAGHETTI (English ver.),LE SSERAFIM,994,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI+(English+ver.),0.58
47,Interlude : Showtime,Jimin,964,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,0.56
48,Background,Jin,957,https://www.last.fm/music/Jin/_/Background,0.56
49,NUEVAYoL,Bad Bunny,945,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,0.55
50,Intro,j-hope,941,https://www.last.fm/music/j-hope/_/Intro,0.55
51,LOST!,RM,934,https://www.last.fm/music/RM/_/LOST%21,0.54
52,Heart on the Window (with WENDY),Jin,927,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),0.54
53,Sienna,The Marías,926,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0.54
54,Permission to Dance,BTS,915,https://www.last.fm/music/BTS/_/Permission+to+Dance,0.53
55,Interlude,BTS,906,https://www.last.fm/music/BTS/_/Interlude,0.53
56,Boy With Luv (feat. Halsey),BTS,898,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),0.52
57,= (Equal Sign),j-hope,897,https://www.last.fm/music/j-hope/_/=+(Equal+Sign),0.52
58,Be Mine,Jimin,891,https://www.last.fm/music/Jimin/_/Be+Mine,0.52
59,Es un Secreto,Plan B,891,https://www.last.fm/music/Plan+B/_/Es+un+Secreto,0.52
60,Somebody,Jung Kook,883,https://www.last.fm/music/Jung+Kook/_/Somebody,0.51
61,Manchild,Sabrina Carpenter,883,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,0.51
62,"To Me, Today",Jin,877,"https://www.last.fm/music/Jin/_/To+Me,+Today",0.51
63,NEURON (with Gaeko & YOON MIRAE),j-hope,877,https://www.last.fm/music/j-hope/_/NEURON+(with+Gaeko+&+YOON+MIRAE),0.51
64,MOJABI GHOST,Tainy,877,https://www.last.fm/music/Tainy/_/MOJABI+GHOST,0.51
65,KLOuFRENS,Bad Bunny,873,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,0.51
66,Change pt.2,RM,870,https://www.last.fm/music/RM/_/Change+pt.2,0.51
67,Interlude: What Are You Doing Now,BTS,869,https://www.last.fm/music/BTS/_/Interlude:+What+Are+You+Doing+Now,0.5
68,Slow Dancing,V,866,https://www.last.fm/music/V/_/Slow+Dancing,0.5
69,Still With You,Jung Kook,866,https://www.last.fm/music/Jung+Kook/_/Still+With+You,0.5
70,Shiny,Easykid,860,https://www.last.fm/music/Easykid/_/Shiny,0.5
71,Permission to Dance - Live,BTS,859,https://www.last.fm/music/BTS/_/Permission+to+Dance+-+Live,0.5
72,Touch,KATSEYE,858,https://www.last.fm/music/KATSEYE/_/Touch,0.5
73,Butter,BTS,855,https://www.last.fm/music/BTS/_/Butter,0.5
74,Blood Sweat & Tears,BTS,849,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears,0.49
