rank,track_name,artist,listeners,url,pct_listeners
1,Don’t Say You Love Me,Jin,2260,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,1.38
2,Killin' It Girl (feat. GloRilla),j-hope,1810,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),1.11
3,Who,Jimin,1810,https://www.last.fm/music/Jimin/_/Who,1.11
4,Gabriela,KATSEYE,1620,https://www.last.fm/music/KATSEYE/_/Gabriela,0.99
5,The Fate of Ophelia,Taylor Swift,1608,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,0.98
6,QLOO*,Young Cister,1595,https://www.last.fm/music/Young+Cister/_/QLOO%2A,0.98
7,Life Goes On,BTS,1565,https://www.last.fm/music/BTS/_/Life+Goes+On,0.96
8,Mona Lisa,j-hope,1520,https://www.last.fm/music/j-hope/_/Mona+Lisa,0.93
9,Wild Flower (with youjeen),RM,1490,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),0.91
10,Haegeum,Agust D,1484,https://www.last.fm/music/Agust+D/_/Haegeum,0.91
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1365,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),0.83
12,BAILE INoLVIDABLE,Bad Bunny,1326,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,0.81
13,EoO,Bad Bunny,1313,https://www.last.fm/music/Bad+Bunny/_/EoO,0.8
14,Opalite,Taylor Swift,1282,https://www.last.fm/music/Taylor+Swift/_/Opalite,0.78
15,Golden,HUNTR/X,1272,https://www.last.fm/music/HUNTR%2FX/_/Golden,0.78
16,Winter Ahead (with PARK HYO SHIN),V,1243,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),0.76
17,Gnarly,KATSEYE,1235,https://www.last.fm/music/KATSEYE/_/Gnarly,0.76
18,Standing Next to You,Jung Kook,1225,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,0.75
19,FRI(END)S,V,1221,https://www.last.fm/music/V/_/FRI(END)S,0.75
20,Yes or No,Jung Kook,1202,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,0.74
21,Running Wild,Jin,1196,https://www.last.fm/music/Jin/_/Running+Wild,0.73
22,FAKE LOVE,BTS,1194,https://www.last.fm/music/BTS/_/FAKE+LOVE,0.73
23,Tears,Sabrina Carpenter,1148,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0.7
24,Like Crazy,Jimin,1102,https://www.last.fm/music/Jimin/_/Like+Crazy,0.67
25,Qué Pasaría...,Rauw Alejandro,1099,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,0.67
26,3D (feat. Jack Harlow),Jung Kook,1084,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),0.66
27,VOY A LLeVARTE PA PR,Bad Bunny,1078,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,0.66
28,VeLDÁ,Bad Bunny,1034,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,0.63
29,Killin' It Girl (Solo Version),j-hope,1033,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),0.63
30,DNA,BTS,1028,https://www.last.fm/music/BTS/_/DNA,0.63
31,Sweet Dreams (feat. Miguel),j-hope,1028,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),0.63
32,Run BTS,BTS,1025,https://www.last.fm/music/BTS/_/Run+BTS,0.63
33,Rope It,Jin,1019,https://www.last.fm/music/Jin/_/Rope+It,0.62
34,Loser (feat. YENA),Jin,1012,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),0.62
35,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1009,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),0.62
36,Dynamite,BTS,991,https://www.last.fm/music/BTS/_/Dynamite,0.61
37,Shiny,Easykid,990,https://www.last.fm/music/Easykid/_/Shiny,0.61
38,Seven (feat. Latto),Jung Kook,955,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),0.58
39,Love Me Again,V,955,https://www.last.fm/music/V/_/Love+Me+Again,0.58
40,Super Tuna,Jin,953,https://www.last.fm/music/Jin/_/Super+Tuna,0.58
41,Nothing Without Your Love,Jin,952,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,0.58
42,Interlude : Showtime,Jimin,946,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,0.58
43,Please Don't Change (feat. DJ Snake),Jung Kook,945,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),0.58
44,Sienna,The Marías,943,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0.58
45,Touch,KATSEYE,929,https://www.last.fm/music/KATSEYE/_/Touch,0.57
46,Be Mine,Jimin,920,https://www.last.fm/music/Jimin/_/Be+Mine,0.56
47,i wonder... (with Jung Kook of BTS),j-hope,914,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),0.56
48,PIXELATED KISSES,Joji,912,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,0.56
49,KLOuFRENS,Bad Bunny,901,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,0.55
50,Manchild,Sabrina Carpenter,895,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,0.55
51,NUEVAYoL,Bad Bunny,892,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,0.55
