rank,track_name,artist,listeners,url,pct_listeners
1,Don’t Say You Love Me,Jin,2262,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,1.38
2,Killin' It Girl (feat. GloRilla),j-hope,1802,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),1.1
3,Who,Jimin,1798,https://www.last.fm/music/Jimin/_/Who,1.1
4,The Fate of Ophelia,Taylor Swift,1641,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,1.0
5,Gabriela,KATSEYE,1633,https://www.last.fm/music/KATSEYE/_/Gabriela,1.0
6,QLOO*,Young Cister,1607,https://www.last.fm/music/Young+Cister/_/QLOO%2A,0.98
7,Mona Lisa,j-hope,1537,https://www.last.fm/music/j-hope/_/Mona+Lisa,0.94
8,Life Goes On,BTS,1501,https://www.last.fm/music/BTS/_/Life+Goes+On,0.92
9,Wild Flower (with youjeen),RM,1455,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),0.89
10,Haegeum,Agust D,1439,https://www.last.fm/music/Agust+D/_/Haegeum,0.88
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1344,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),0.82
12,Gnarly,KATSEYE,1327,https://www.last.fm/music/KATSEYE/_/Gnarly,0.81
13,Golden,HUNTR/X,1323,https://www.last.fm/music/HUNTR%2FX/_/Golden,0.81
14,EoO,Bad Bunny,1321,https://www.last.fm/music/Bad+Bunny/_/EoO,0.81
15,BAILE INoLVIDABLE,Bad Bunny,1321,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,0.81
16,Opalite,Taylor Swift,1303,https://www.last.fm/music/Taylor+Swift/_/Opalite,0.8
17,FRI(END)S,V,1224,https://www.last.fm/music/V/_/FRI(END)S,0.75
18,Winter Ahead (with PARK HYO SHIN),V,1220,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),0.75
19,Standing Next to You,Jung Kook,1211,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,0.74
20,Yes or No,Jung Kook,1210,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,0.74
21,FAKE LOVE,BTS,1189,https://www.last.fm/music/BTS/_/FAKE+LOVE,0.73
22,Running Wild,Jin,1173,https://www.last.fm/music/Jin/_/Running+Wild,0.72
23,Tears,Sabrina Carpenter,1172,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0.72
24,VOY A LLeVARTE PA PR,Bad Bunny,1109,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,0.68
25,Like Crazy,Jimin,1093,https://www.last.fm/music/Jimin/_/Like+Crazy,0.67
26,Qué Pasaría...,Rauw Alejandro,1092,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,0.67
27,3D (feat. Jack Harlow),Jung Kook,1082,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),0.66
28,DNA,BTS,1050,https://www.last.fm/music/BTS/_/DNA,0.64
29,VeLDÁ,Bad Bunny,1034,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,0.63
30,Run BTS,BTS,1031,https://www.last.fm/music/BTS/_/Run+BTS,0.63
31,Killin' It Girl (Solo Version),j-hope,1022,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),0.62
32,Sweet Dreams (feat. Miguel),j-hope,1014,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),0.62
33,Dynamite,BTS,1009,https://www.last.fm/music/BTS/_/Dynamite,0.62
34,Rope It,Jin,997,https://www.last.fm/music/Jin/_/Rope+It,0.61
35,Loser (feat. YENA),Jin,994,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),0.61
36,Shiny,Easykid,991,https://www.last.fm/music/Easykid/_/Shiny,0.61
37,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,990,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),0.61
38,Super Tuna,Jin,954,https://www.last.fm/music/Jin/_/Super+Tuna,0.58
39,Please Don't Change (feat. DJ Snake),Jung Kook,954,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),0.58
40,Seven (feat. Latto),Jung Kook,945,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),0.58
41,Sienna,The Marías,942,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0.58
42,Touch,KATSEYE,941,https://www.last.fm/music/KATSEYE/_/Touch,0.58
43,Love Me Again,V,940,https://www.last.fm/music/V/_/Love+Me+Again,0.57
44,Interlude : Showtime,Jimin,937,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,0.57
45,Nothing Without Your Love,Jin,933,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,0.57
46,Manchild,Sabrina Carpenter,928,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,0.57
47,Be Mine,Jimin,912,https://www.last.fm/music/Jimin/_/Be+Mine,0.56
48,i wonder... (with Jung Kook of BTS),j-hope,910,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),0.56
49,KLOuFRENS,Bad Bunny,899,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,0.55
50,NUEVAYoL,Bad Bunny,897,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,0.55
51,Still With You,Jung Kook,884,https://www.last.fm/music/Jung+Kook/_/Still+With+You,0.54
52,Stop The Rain (TABLO X RM),Tablo,879,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),0.54
53,Boy With Luv (feat. Halsey),BTS,863,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),0.53
54,Set Me Free Pt.2,Jimin,862,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,0.53
55,LOST!,RM,861,https://www.last.fm/music/RM/_/LOST%21,0.53
56,Permission to Dance,BTS,859,https://www.last.fm/music/BTS/_/Permission+to+Dance,0.52
57,Interlude,BTS,859,https://www.last.fm/music/BTS/_/Interlude,0.52
58,Background,Jin,855,https://www.last.fm/music/Jin/_/Background,0.52
59,Intro,j-hope,853,https://www.last.fm/music/j-hope/_/Intro,0.52
60,DtMF,Bad Bunny,852,https://www.last.fm/music/Bad+Bunny/_/DtMF,0.52
61,Es un Secreto,Plan B,851,https://www.last.fm/music/Plan+B/_/Es+un+Secreto,0.52
62,MORE,j-hope,850,https://www.last.fm/music/j-hope/_/MORE,0.52
63,Elizabeth Taylor,Taylor Swift,845,https://www.last.fm/music/Taylor+Swift/_/Elizabeth+Taylor,0.52
64,Lonely,RM,837,https://www.last.fm/music/RM/_/Lonely,0.51
65,Blood Sweat & Tears,BTS,836,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears,0.51
66,Khé?,Rauw Alejandro,836,https://www.last.fm/music/Rauw+Alejandro/_/Kh%C3%A9%3F,0.51
67,Me Rehúso,Danny Ocean,834,https://www.last.fm/music/Danny+Ocean/_/Me+Reh%C3%BAso,0.51
68,Interlude: What Are You Doing Now,BTS,830,https://www.last.fm/music/BTS/_/Interlude:+What+Are+You+Doing+Now,0.51
69,Daechwita,Agust D,823,https://www.last.fm/music/Agust+D/_/Daechwita,0.5
70,Permission to Dance - Live,BTS,822,https://www.last.fm/music/BTS/_/Permission+to+Dance+-+Live,0.5
71,PIXELATED KISSES,Joji,807,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,0.49
72,back to friends,sombr,800,https://www.last.fm/music/sombr/_/back+to+friends,0.49
73,LA CANCIÓN,J Balvin,798,https://www.last.fm/music/J+Balvin/_/LA+CANCI%C3%93N,0.49
74,Change pt.2,RM,797,https://www.last.fm/music/RM/_/Change+pt.2,0.49
75,Actually Romantic,Taylor Swift,795,https://www.last.fm/music/Taylor+Swift/_/Actually+Romantic,0.49
76,Heart on the Window (with WENDY),Jin,794,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),0.49
77,BIRDS OF A FEATHER,Billie Eilish,793,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,0.48
78,= (Equal Sign),j-hope,787,https://www.last.fm/music/j-hope/_/=+(Equal+Sign),0.48
79,Somebody,Jung Kook,787,https://www.last.fm/music/Jung+Kook/_/Somebody,0.48
80,Slow Dance (feat. Sofia Carson),Jimin,786,https://www.last.fm/music/Jimin/_/Slow+Dance+(feat.+Sofia+Carson),0.48
81,Wood,Taylor Swift,781,https://www.last.fm/music/Taylor+Swift/_/Wood,0.48
82,Blood Sweat & Tears - Live,BTS,781,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears+-+Live,0.48
83,No One Noticed,The Marías,779,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,0.48
84,Duvet,bôa,777,https://www.last.fm/music/b%C3%B4a/_/Duvet,0.47
85,Slow Dancing,V,775,https://www.last.fm/music/V/_/Slow+Dancing,0.47
86,SUGAR ON MY TONGUE,"Tyler, The Creator",774,"https://www.last.fm/music/Tyler,+The+Creator/_/SUGAR+ON+MY+TONGUE",0.47
87,"Good Luck, Babe!",Chappell Roan,769,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",0.47
88,Closer Than This,Jimin,767,https://www.last.fm/music/Jimin/_/Closer+Than+This,0.47
89,Butter,BTS,764,https://www.last.fm/music/BTS/_/Butter,0.47
90,COQUETA,Fuerza Regida,762,https://www.last.fm/music/Fuerza+Regida/_/COQUETA,0.47
91,The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,750,https://www.last.fm/music/Taylor+Swift/_/The+Life+of+a+Showgirl+(feat.+Sabrina+Carpenter),0.46
92,Intro: 2 COOL 4 SKOOL,BTS,748,https://www.last.fm/music/BTS/_/Intro:+2+COOL+4+SKOOL,0.46
93,Espresso,Sabrina Carpenter,747,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,0.46
94,Moscow Mule,Bad Bunny,745,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule,0.46
95,With the Clouds,Jin,738,https://www.last.fm/music/Jin/_/With+the+Clouds,0.45
96,ㅠㅠ (Credit Roll),RM,737,https://www.last.fm/music/RM/_/%E3%85%A0%E3%85%A0+(Credit+Roll),0.45
97,Borro Cassette,Maluma,736,https://www.last.fm/music/Maluma/_/Borro+Cassette,0.45
98,El Amar y el Querer,José José,734,https://www.last.fm/music/Jos%C3%A9+Jos%C3%A9/_/El+Amar+y+el+Querer,0.45
99,Rebirth (Intro),Jimin,732,https://www.last.fm/music/Jimin/_/Rebirth+(Intro),0.45
100,Father Figure,Taylor Swift,732,https://www.last.fm/music/Taylor+Swift/_/Father+Figure,0.45
101,MOJABI GHOST,Tainy,732,https://www.last.fm/music/Tainy/_/MOJABI+GHOST,0.45
102,Promise,Jimin,721,https://www.last.fm/music/Jimin/_/Promise,0.44
103,"To Me, Today",Jin,717,"https://www.last.fm/music/Jin/_/To+Me,+Today",0.44
104,"Intro: O!RUL8,2?",BTS,717,"https://www.last.fm/music/BTS/_/Intro:+O%21RUL8,2%3F",0.44
