rank,track_name,artist,listeners,url,country,snapshot_date
1,Don’t Say You Love Me,Jin,2260,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,Peru,2025-10-16
2,Killin' It Girl (feat. GloRilla),j-hope,1810,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),Peru,2025-10-16
3,Who,Jimin,1810,https://www.last.fm/music/Jimin/_/Who,Peru,2025-10-16
4,Gabriela,KATSEYE,1620,https://www.last.fm/music/KATSEYE/_/Gabriela,Peru,2025-10-16
5,The Fate of Ophelia,Taylor Swift,1608,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,Peru,2025-10-16
6,QLOO*,Young Cister,1595,https://www.last.fm/music/Young+Cister/_/QLOO%2A,Peru,2025-10-16
7,Life Goes On,BTS,1565,https://www.last.fm/music/BTS/_/Life+Goes+On,Peru,2025-10-16
8,Mona Lisa,j-hope,1520,https://www.last.fm/music/j-hope/_/Mona+Lisa,Peru,2025-10-16
9,Wild Flower (with youjeen),RM,1490,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),Peru,2025-10-16
10,Haegeum,Agust D,1484,https://www.last.fm/music/Agust+D/_/Haegeum,Peru,2025-10-16
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1365,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),Peru,2025-10-16
12,BAILE INoLVIDABLE,Bad Bunny,1326,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,Peru,2025-10-16
13,EoO,Bad Bunny,1313,https://www.last.fm/music/Bad+Bunny/_/EoO,Peru,2025-10-16
14,Opalite,Taylor Swift,1282,https://www.last.fm/music/Taylor+Swift/_/Opalite,Peru,2025-10-16
15,Golden,HUNTR/X,1272,https://www.last.fm/music/HUNTR%2FX/_/Golden,Peru,2025-10-16
16,Winter Ahead (with PARK HYO SHIN),V,1243,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),Peru,2025-10-16
17,Gnarly,KATSEYE,1235,https://www.last.fm/music/KATSEYE/_/Gnarly,Peru,2025-10-16
18,Standing Next to You,Jung Kook,1225,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,Peru,2025-10-16
19,FRI(END)S,V,1221,https://www.last.fm/music/V/_/FRI(END)S,Peru,2025-10-16
20,Yes or No,Jung Kook,1202,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,Peru,2025-10-16
21,Running Wild,Jin,1196,https://www.last.fm/music/Jin/_/Running+Wild,Peru,2025-10-16
22,FAKE LOVE,BTS,1194,https://www.last.fm/music/BTS/_/FAKE+LOVE,Peru,2025-10-16
23,Tears,Sabrina Carpenter,1148,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,Peru,2025-10-16
24,Like Crazy,Jimin,1102,https://www.last.fm/music/Jimin/_/Like+Crazy,Peru,2025-10-16
25,Qué Pasaría...,Rauw Alejandro,1099,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,Peru,2025-10-16
26,3D (feat. Jack Harlow),Jung Kook,1084,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),Peru,2025-10-16
27,VOY A LLeVARTE PA PR,Bad Bunny,1078,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,Peru,2025-10-16
28,VeLDÁ,Bad Bunny,1034,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,Peru,2025-10-16
29,Killin' It Girl (Solo Version),j-hope,1033,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),Peru,2025-10-16
30,DNA,BTS,1028,https://www.last.fm/music/BTS/_/DNA,Peru,2025-10-16
31,Sweet Dreams (feat. Miguel),j-hope,1028,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),Peru,2025-10-16
32,Run BTS,BTS,1025,https://www.last.fm/music/BTS/_/Run+BTS,Peru,2025-10-16
33,Rope It,Jin,1019,https://www.last.fm/music/Jin/_/Rope+It,Peru,2025-10-16
34,Loser (feat. YENA),Jin,1012,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),Peru,2025-10-16
35,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1009,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),Peru,2025-10-16
36,Dynamite,BTS,991,https://www.last.fm/music/BTS/_/Dynamite,Peru,2025-10-16
37,Shiny,Easykid,990,https://www.last.fm/music/Easykid/_/Shiny,Peru,2025-10-16
38,Seven (feat. Latto),Jung Kook,955,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),Peru,2025-10-16
39,Love Me Again,V,955,https://www.last.fm/music/V/_/Love+Me+Again,Peru,2025-10-16
40,Super Tuna,Jin,953,https://www.last.fm/music/Jin/_/Super+Tuna,Peru,2025-10-16
41,Nothing Without Your Love,Jin,952,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,Peru,2025-10-16
42,Interlude : Showtime,Jimin,946,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,Peru,2025-10-16
43,Please Don't Change (feat. DJ Snake),Jung Kook,945,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),Peru,2025-10-16
44,Sienna,The Marías,943,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,Peru,2025-10-16
45,Touch,KATSEYE,929,https://www.last.fm/music/KATSEYE/_/Touch,Peru,2025-10-16
46,Be Mine,Jimin,920,https://www.last.fm/music/Jimin/_/Be+Mine,Peru,2025-10-16
47,i wonder... (with Jung Kook of BTS),j-hope,914,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),Peru,2025-10-16
48,PIXELATED KISSES,Joji,912,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,Peru,2025-10-16
49,KLOuFRENS,Bad Bunny,901,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,Peru,2025-10-16
50,Manchild,Sabrina Carpenter,895,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,Peru,2025-10-16
51,NUEVAYoL,Bad Bunny,892,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,Peru,2025-10-16
52,Stop The Rain (TABLO X RM),Tablo,884,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),Peru,2025-10-16
53,LOST!,RM,884,https://www.last.fm/music/RM/_/LOST%21,Peru,2025-10-16
54,Set Me Free Pt.2,Jimin,879,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,Peru,2025-10-16
55,MORE,j-hope,870,https://www.last.fm/music/j-hope/_/MORE,Peru,2025-10-16
56,Background,Jin,870,https://www.last.fm/music/Jin/_/Background,Peru,2025-10-16
57,Still With You,Jung Kook,863,https://www.last.fm/music/Jung+Kook/_/Still+With+You,Peru,2025-10-16
58,Intro,j-hope,859,https://www.last.fm/music/j-hope/_/Intro,Peru,2025-10-16
59,Boy With Luv (feat. Halsey),BTS,855,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),Peru,2025-10-16
60,Khé?,Rauw Alejandro,853,https://www.last.fm/music/Rauw+Alejandro/_/Kh%C3%A9%3F,Peru,2025-10-16
