rank,track_name,artist,listeners,url,country,snapshot_date
1,Don’t Say You Love Me,Jin,2351,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,Peru,2025-10-24
2,Killin' It Girl (feat. GloRilla),j-hope,1983,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),Peru,2025-10-24
3,Mona Lisa,j-hope,1891,https://www.last.fm/music/j-hope/_/Mona+Lisa,Peru,2025-10-24
4,Who,Jimin,1850,https://www.last.fm/music/Jimin/_/Who,Peru,2025-10-24
5,Life Goes On,BTS,1672,https://www.last.fm/music/BTS/_/Life+Goes+On,Peru,2025-10-24
6,Gabriela,KATSEYE,1664,https://www.last.fm/music/KATSEYE/_/Gabriela,Peru,2025-10-24
7,Haegeum,Agust D,1647,https://www.last.fm/music/Agust+D/_/Haegeum,Peru,2025-10-24
8,Wild Flower (with youjeen),RM,1615,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),Peru,2025-10-24
9,Spaghetti,LE SSERAFIM,1599,https://www.last.fm/music/LE+SSERAFIM/_/Spaghetti,Peru,2025-10-24
10,QLOO*,Young Cister,1571,https://www.last.fm/music/Young+Cister/_/QLOO%2A,Peru,2025-10-24
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1540,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),Peru,2025-10-24
12,Winter Ahead (with PARK HYO SHIN),V,1430,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),Peru,2025-10-24
13,Standing Next to You,Jung Kook,1428,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,Peru,2025-10-24
14,Running Wild,Jin,1370,https://www.last.fm/music/Jin/_/Running+Wild,Peru,2025-10-24
15,The Fate of Ophelia,Taylor Swift,1368,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,Peru,2025-10-24
16,FRI(END)S,V,1365,https://www.last.fm/music/V/_/FRI(END)S,Peru,2025-10-24
17,EoO,Bad Bunny,1341,https://www.last.fm/music/Bad+Bunny/_/EoO,Peru,2025-10-24
18,BAILE INoLVIDABLE,Bad Bunny,1328,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,Peru,2025-10-24
19,DNA,BTS,1327,https://www.last.fm/music/BTS/_/DNA,Peru,2025-10-24
20,Sweet Dreams (feat. Miguel),j-hope,1305,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),Peru,2025-10-24
21,Yes or No,Jung Kook,1246,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,Peru,2025-10-24
22,FAKE LOVE,BTS,1231,https://www.last.fm/music/BTS/_/FAKE+LOVE,Peru,2025-10-24
23,Stop The Rain (TABLO X RM),Tablo,1221,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),Peru,2025-10-24
24,Gnarly,KATSEYE,1208,https://www.last.fm/music/KATSEYE/_/Gnarly,Peru,2025-10-24
25,Tears,Sabrina Carpenter,1185,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,Peru,2025-10-24
26,Qué Pasaría...,Rauw Alejandro,1182,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,Peru,2025-10-24
27,Killin' It Girl (Solo Version),j-hope,1178,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),Peru,2025-10-24
28,Golden,HUNTR/X,1135,https://www.last.fm/music/HUNTR%2FX/_/Golden,Peru,2025-10-24
29,3D (feat. Jack Harlow),Jung Kook,1132,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),Peru,2025-10-24
30,VOY A LLeVARTE PA PR,Bad Bunny,1115,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,Peru,2025-10-24
31,Run BTS,BTS,1111,https://www.last.fm/music/BTS/_/Run+BTS,Peru,2025-10-24
32,Super Tuna,Jin,1110,https://www.last.fm/music/Jin/_/Super+Tuna,Peru,2025-10-24
33,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1109,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),Peru,2025-10-24
34,Rope It,Jin,1095,https://www.last.fm/music/Jin/_/Rope+It,Peru,2025-10-24
35,MORE,j-hope,1086,https://www.last.fm/music/j-hope/_/MORE,Peru,2025-10-24
36,Loser (feat. YENA),Jin,1083,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),Peru,2025-10-24
37,i wonder... (with Jung Kook of BTS),j-hope,1080,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),Peru,2025-10-24
38,Like Crazy,Jimin,1076,https://www.last.fm/music/Jimin/_/Like+Crazy,Peru,2025-10-24
39,Dynamite,BTS,1060,https://www.last.fm/music/BTS/_/Dynamite,Peru,2025-10-24
40,Nothing Without Your Love,Jin,1053,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,Peru,2025-10-24
41,Please Don't Change (feat. DJ Snake),Jung Kook,1047,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),Peru,2025-10-24
42,Seven (feat. Latto),Jung Kook,1042,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),Peru,2025-10-24
43,VeLDÁ,Bad Bunny,1033,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,Peru,2025-10-24
44,Love Me Again,V,1022,https://www.last.fm/music/V/_/Love+Me+Again,Peru,2025-10-24
45,Opalite,Taylor Swift,996,https://www.last.fm/music/Taylor+Swift/_/Opalite,Peru,2025-10-24
46,SPAGHETTI (English ver.),LE SSERAFIM,994,https://www.last.fm/music/LE+SSERAFIM/_/SPAGHETTI+(English+ver.),Peru,2025-10-24
47,Interlude : Showtime,Jimin,964,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,Peru,2025-10-24
48,Background,Jin,957,https://www.last.fm/music/Jin/_/Background,Peru,2025-10-24
49,NUEVAYoL,Bad Bunny,945,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,Peru,2025-10-24
50,Intro,j-hope,941,https://www.last.fm/music/j-hope/_/Intro,Peru,2025-10-24
51,LOST!,RM,934,https://www.last.fm/music/RM/_/LOST%21,Peru,2025-10-24
52,Heart on the Window (with WENDY),Jin,927,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),Peru,2025-10-24
53,Sienna,The Marías,926,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,Peru,2025-10-24
54,Permission to Dance,BTS,915,https://www.last.fm/music/BTS/_/Permission+to+Dance,Peru,2025-10-24
55,Interlude,BTS,906,https://www.last.fm/music/BTS/_/Interlude,Peru,2025-10-24
56,Boy With Luv (feat. Halsey),BTS,898,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),Peru,2025-10-24
57,= (Equal Sign),j-hope,897,https://www.last.fm/music/j-hope/_/=+(Equal+Sign),Peru,2025-10-24
58,Be Mine,Jimin,891,https://www.last.fm/music/Jimin/_/Be+Mine,Peru,2025-10-24
59,Es un Secreto,Plan B,891,https://www.last.fm/music/Plan+B/_/Es+un+Secreto,Peru,2025-10-24
60,Somebody,Jung Kook,883,https://www.last.fm/music/Jung+Kook/_/Somebody,Peru,2025-10-24
61,Manchild,Sabrina Carpenter,883,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,Peru,2025-10-24
62,"To Me, Today",Jin,877,"https://www.last.fm/music/Jin/_/To+Me,+Today",Peru,2025-10-24
63,NEURON (with Gaeko & YOON MIRAE),j-hope,877,https://www.last.fm/music/j-hope/_/NEURON+(with+Gaeko+&+YOON+MIRAE),Peru,2025-10-24
64,MOJABI GHOST,Tainy,877,https://www.last.fm/music/Tainy/_/MOJABI+GHOST,Peru,2025-10-24
65,KLOuFRENS,Bad Bunny,873,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,Peru,2025-10-24
66,Change pt.2,RM,870,https://www.last.fm/music/RM/_/Change+pt.2,Peru,2025-10-24
67,Interlude: What Are You Doing Now,BTS,869,https://www.last.fm/music/BTS/_/Interlude:+What+Are+You+Doing+Now,Peru,2025-10-24
68,Slow Dancing,V,866,https://www.last.fm/music/V/_/Slow+Dancing,Peru,2025-10-24
69,Still With You,Jung Kook,866,https://www.last.fm/music/Jung+Kook/_/Still+With+You,Peru,2025-10-24
70,Shiny,Easykid,860,https://www.last.fm/music/Easykid/_/Shiny,Peru,2025-10-24
71,Permission to Dance - Live,BTS,859,https://www.last.fm/music/BTS/_/Permission+to+Dance+-+Live,Peru,2025-10-24
72,Touch,KATSEYE,858,https://www.last.fm/music/KATSEYE/_/Touch,Peru,2025-10-24
73,Butter,BTS,855,https://www.last.fm/music/BTS/_/Butter,Peru,2025-10-24
74,Blood Sweat & Tears,BTS,849,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears,Peru,2025-10-24
75,With the Clouds,Jin,848,https://www.last.fm/music/Jin/_/With+the+Clouds,Peru,2025-10-24
76,Set Me Free Pt.2,Jimin,846,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,Peru,2025-10-24
77,Intro: 2 COOL 4 SKOOL,BTS,845,https://www.last.fm/music/BTS/_/Intro:+2+COOL+4+SKOOL,Peru,2025-10-24
78,Khé?,Rauw Alejandro,844,https://www.last.fm/music/Rauw+Alejandro/_/Kh%C3%A9%3F,Peru,2025-10-24
79,Duvet,bôa,838,https://www.last.fm/music/b%C3%B4a/_/Duvet,Peru,2025-10-24
80,Another Level,Jin,832,https://www.last.fm/music/Jin/_/Another+Level,Peru,2025-10-24
81,Blood Sweat & Tears - Live,BTS,831,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears+-+Live,Peru,2025-10-24
82,"Good Luck, Babe!",Chappell Roan,829,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",Peru,2025-10-24
83,PIXELATED KISSES,Joji,826,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,Peru,2025-10-24
84,Lonely,RM,822,https://www.last.fm/music/RM/_/Lonely,Peru,2025-10-24
85,Daechwita,Agust D,819,https://www.last.fm/music/Agust+D/_/Daechwita,Peru,2025-10-24
86,back to friends,sombr,818,https://www.last.fm/music/sombr/_/back+to+friends,Peru,2025-10-24
87,Intro : Dt sugA (Feat. DJ Friz),Agust D,801,https://www.last.fm/music/Agust+D/_/Intro+:+Dt+sugA+(Feat.+DJ+Friz),Peru,2025-10-24
88,Me Rehúso,Danny Ocean,799,https://www.last.fm/music/Danny+Ocean/_/Me+Reh%C3%BAso,Peru,2025-10-24
89,DtMF,Bad Bunny,795,https://www.last.fm/music/Bad+Bunny/_/DtMF,Peru,2025-10-24
90,BIRDS OF A FEATHER,Billie Eilish,795,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,Peru,2025-10-24
91,See You Again (feat. Kali Uchis),"Tyler, The Creator",789,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)",Peru,2025-10-24
92,Moscow Mule,Bad Bunny,786,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule,Peru,2025-10-24
93,LATINA FOREVA,KAROL G,783,https://www.last.fm/music/KAROL+G/_/LATINA+FOREVA,Peru,2025-10-24
94,"Intro: O!RUL8,2?",BTS,777,"https://www.last.fm/music/BTS/_/Intro:+O%21RUL8,2%3F",Peru,2025-10-24
95,Otro Atardecer,Bad Bunny,775,https://www.last.fm/music/Bad+Bunny/_/Otro+Atardecer,Peru,2025-10-24
96,I’ll Be There,Jin,774,https://www.last.fm/music/Jin/_/I%E2%80%99ll+Be+There,Peru,2025-10-24
97,Slow Dance (feat. Sofia Carson),Jimin,772,https://www.last.fm/music/Jimin/_/Slow+Dance+(feat.+Sofia+Carson),Peru,2025-10-24
98,Pied Piper,BTS,764,https://www.last.fm/music/BTS/_/Pied+Piper,Peru,2025-10-24
99,Espresso,Sabrina Carpenter,760,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,Peru,2025-10-24
100,Falling,Jin,757,https://www.last.fm/music/Jin/_/Falling,Peru,2025-10-24
101,The Astronaut,Jin,752,https://www.last.fm/music/Jin/_/The+Astronaut,Peru,2025-10-24
102,Arson,j-hope,751,https://www.last.fm/music/j-hope/_/Arson,Peru,2025-10-24
103,No One Noticed,The Marías,750,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,Peru,2025-10-24
104,ㅠㅠ (Credit Roll),RM,747,https://www.last.fm/music/RM/_/%E3%85%A0%E3%85%A0+(Credit+Roll),Peru,2025-10-24
105,Spring Day,BTS,747,https://www.last.fm/music/BTS/_/Spring+Day,Peru,2025-10-24
106,Rainy Days,V,744,https://www.last.fm/music/V/_/Rainy+Days,Peru,2025-10-24
107,CRAZY,LE SSERAFIM,744,https://www.last.fm/music/LE+SSERAFIM/_/CRAZY,Peru,2025-10-24
108,Tiroteo - Remix,Marc Seguí,742,https://www.last.fm/music/Marc+Segu%C3%AD/_/Tiroteo+-+Remix,Peru,2025-10-24
