rank,track_name,artist,listeners,url,country,snapshot_date
0,Don’t Say You Love Me,Jin,2242,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,Peru,2025-10-19
0,Who,Jimin,1807,https://www.last.fm/music/Jimin/_/Who,Peru,2025-10-19
0,Killin' It Girl (feat. GloRilla),j-hope,1780,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),Peru,2025-10-19
0,Mona Lisa,j-hope,1622,https://www.last.fm/music/j-hope/_/Mona+Lisa,Peru,2025-10-19
0,Life Goes On,BTS,1600,https://www.last.fm/music/BTS/_/Life+Goes+On,Peru,2025-10-19
0,Gabriela,KATSEYE,1570,https://www.last.fm/music/KATSEYE/_/Gabriela,Peru,2025-10-19
0,QLOO*,Young Cister,1568,https://www.last.fm/music/Young+Cister/_/QLOO%2A,Peru,2025-10-19
0,Haegeum,Agust D,1529,https://www.last.fm/music/Agust+D/_/Haegeum,Peru,2025-10-19
0,The Fate of Ophelia,Taylor Swift,1515,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,Peru,2025-10-19
0,Wild Flower (with youjeen),RM,1511,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),Peru,2025-10-19
0,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1375,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),Peru,2025-10-19
0,BAILE INoLVIDABLE,Bad Bunny,1312,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,Peru,2025-10-19
0,Running Wild,Jin,1296,https://www.last.fm/music/Jin/_/Running+Wild,Peru,2025-10-19
0,Standing Next to You,Jung Kook,1296,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,Peru,2025-10-19
0,EoO,Bad Bunny,1271,https://www.last.fm/music/Bad+Bunny/_/EoO,Peru,2025-10-19
0,Winter Ahead (with PARK HYO SHIN),V,1269,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),Peru,2025-10-19
0,FRI(END)S,V,1264,https://www.last.fm/music/V/_/FRI(END)S,Peru,2025-10-19
0,Gnarly,KATSEYE,1227,https://www.last.fm/music/KATSEYE/_/Gnarly,Peru,2025-10-19
0,Yes or No,Jung Kook,1224,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,Peru,2025-10-19
0,FAKE LOVE,BTS,1213,https://www.last.fm/music/BTS/_/FAKE+LOVE,Peru,2025-10-19
0,Tears,Sabrina Carpenter,1181,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,Peru,2025-10-19
0,PIXELATED KISSES,Joji,1173,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,Peru,2025-10-19
0,DNA,BTS,1131,https://www.last.fm/music/BTS/_/DNA,Peru,2025-10-19
0,Qué Pasaría...,Rauw Alejandro,1117,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,Peru,2025-10-19
0,Golden,HUNTR/X,1115,https://www.last.fm/music/HUNTR%2FX/_/Golden,Peru,2025-10-19
0,Opalite,Taylor Swift,1112,https://www.last.fm/music/Taylor+Swift/_/Opalite,Peru,2025-10-19
0,3D (feat. Jack Harlow),Jung Kook,1109,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),Peru,2025-10-19
0,Like Crazy,Jimin,1101,https://www.last.fm/music/Jimin/_/Like+Crazy,Peru,2025-10-19
0,VOY A LLeVARTE PA PR,Bad Bunny,1071,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,Peru,2025-10-19
0,Sweet Dreams (feat. Miguel),j-hope,1060,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),Peru,2025-10-19
0,Run BTS,BTS,1053,https://www.last.fm/music/BTS/_/Run+BTS,Peru,2025-10-19
0,VeLDÁ,Bad Bunny,1051,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,Peru,2025-10-19
0,Killin' It Girl (Solo Version),j-hope,1047,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),Peru,2025-10-19
0,Rope It,Jin,1038,https://www.last.fm/music/Jin/_/Rope+It,Peru,2025-10-19
0,Loser (feat. YENA),Jin,1035,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),Peru,2025-10-19
0,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1022,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),Peru,2025-10-19
0,Stop The Rain (TABLO X RM),Tablo,1015,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),Peru,2025-10-19
0,Dynamite,BTS,1006,https://www.last.fm/music/BTS/_/Dynamite,Peru,2025-10-19
0,Nothing Without Your Love,Jin,1005,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,Peru,2025-10-19
0,Love Me Again,V,988,https://www.last.fm/music/V/_/Love+Me+Again,Peru,2025-10-19
0,Seven (feat. Latto),Jung Kook,975,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),Peru,2025-10-19
0,MORE,j-hope,956,https://www.last.fm/music/j-hope/_/MORE,Peru,2025-10-19
0,Please Don't Change (feat. DJ Snake),Jung Kook,947,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),Peru,2025-10-19
0,Sienna,The Marías,944,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,Peru,2025-10-19
0,Shiny,Easykid,932,https://www.last.fm/music/Easykid/_/Shiny,Peru,2025-10-19
0,Super Tuna,Jin,931,https://www.last.fm/music/Jin/_/Super+Tuna,Peru,2025-10-19
0,LOST!,RM,924,https://www.last.fm/music/RM/_/LOST%21,Peru,2025-10-19
0,Interlude : Showtime,Jimin,918,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,Peru,2025-10-19
0,i wonder... (with Jung Kook of BTS),j-hope,914,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),Peru,2025-10-19
0,Be Mine,Jimin,909,https://www.last.fm/music/Jimin/_/Be+Mine,Peru,2025-10-19
0,Background,Jin,909,https://www.last.fm/music/Jin/_/Background,Peru,2025-10-19
0,Manchild,Sabrina Carpenter,903,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,Peru,2025-10-19
0,Permission to Dance,BTS,892,https://www.last.fm/music/BTS/_/Permission+to+Dance,Peru,2025-10-19
0,Set Me Free Pt.2,Jimin,877,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,Peru,2025-10-19
0,KLOuFRENS,Bad Bunny,870,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,Peru,2025-10-19
0,Boy With Luv (feat. Halsey),BTS,859,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),Peru,2025-10-19
