rank,track_name,artist,listeners,url
1,Don’t Say You Love Me,Jin,2262,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me
2,Killin' It Girl (feat. GloRilla),j-hope,1802,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)
3,Who,Jimin,1798,https://www.last.fm/music/Jimin/_/Who
4,The Fate of Ophelia,Taylor Swift,1641,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
5,Gabriela,KATSEYE,1633,https://www.last.fm/music/KATSEYE/_/Gabriela
6,QLOO*,Young Cister,1607,https://www.last.fm/music/Young+Cister/_/QLOO%2A
7,Mona Lisa,j-hope,1537,https://www.last.fm/music/j-hope/_/Mona+Lisa
8,Life Goes On,BTS,1501,https://www.last.fm/music/BTS/_/Life+Goes+On
9,Wild Flower (with youjeen),RM,1455,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen)
10,Haegeum,Agust D,1439,https://www.last.fm/music/Agust+D/_/Haegeum
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1344,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.)
12,Gnarly,KATSEYE,1327,https://www.last.fm/music/KATSEYE/_/Gnarly
13,Golden,HUNTR/X,1323,https://www.last.fm/music/HUNTR%2FX/_/Golden
14,EoO,Bad Bunny,1321,https://www.last.fm/music/Bad+Bunny/_/EoO
15,BAILE INoLVIDABLE,Bad Bunny,1321,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE
16,Opalite,Taylor Swift,1303,https://www.last.fm/music/Taylor+Swift/_/Opalite
17,FRI(END)S,V,1224,https://www.last.fm/music/V/_/FRI(END)S
18,Winter Ahead (with PARK HYO SHIN),V,1220,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN)
19,Standing Next to You,Jung Kook,1211,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You
20,Yes or No,Jung Kook,1210,https://www.last.fm/music/Jung+Kook/_/Yes+or+No
21,FAKE LOVE,BTS,1189,https://www.last.fm/music/BTS/_/FAKE+LOVE
22,Running Wild,Jin,1173,https://www.last.fm/music/Jin/_/Running+Wild
23,Tears,Sabrina Carpenter,1172,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
24,VOY A LLeVARTE PA PR,Bad Bunny,1109,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR
25,Like Crazy,Jimin,1093,https://www.last.fm/music/Jimin/_/Like+Crazy
26,Qué Pasaría...,Rauw Alejandro,1092,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...
27,3D (feat. Jack Harlow),Jung Kook,1082,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow)
28,DNA,BTS,1050,https://www.last.fm/music/BTS/_/DNA
29,VeLDÁ,Bad Bunny,1034,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81
30,Run BTS,BTS,1031,https://www.last.fm/music/BTS/_/Run+BTS
31,Killin' It Girl (Solo Version),j-hope,1022,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version)
32,Sweet Dreams (feat. Miguel),j-hope,1014,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel)
33,Dynamite,BTS,1009,https://www.last.fm/music/BTS/_/Dynamite
34,Rope It,Jin,997,https://www.last.fm/music/Jin/_/Rope+It
35,Loser (feat. YENA),Jin,994,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA)
36,Shiny,Easykid,991,https://www.last.fm/music/Easykid/_/Shiny
37,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,990,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version)
38,Super Tuna,Jin,954,https://www.last.fm/music/Jin/_/Super+Tuna
39,Please Don't Change (feat. DJ Snake),Jung Kook,954,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake)
40,Seven (feat. Latto),Jung Kook,945,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)
41,Sienna,The Marías,942,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
42,Touch,KATSEYE,941,https://www.last.fm/music/KATSEYE/_/Touch
43,Love Me Again,V,940,https://www.last.fm/music/V/_/Love+Me+Again
44,Interlude : Showtime,Jimin,937,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime
45,Nothing Without Your Love,Jin,933,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love
46,Manchild,Sabrina Carpenter,928,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
47,Be Mine,Jimin,912,https://www.last.fm/music/Jimin/_/Be+Mine
48,i wonder... (with Jung Kook of BTS),j-hope,910,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS)
49,KLOuFRENS,Bad Bunny,899,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS
50,NUEVAYoL,Bad Bunny,897,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL
51,Still With You,Jung Kook,884,https://www.last.fm/music/Jung+Kook/_/Still+With+You
52,Stop The Rain (TABLO X RM),Tablo,879,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM)
53,Boy With Luv (feat. Halsey),BTS,863,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey)
