artist,listeners,pct_listeners,pct_acumulado
BTS,26254,15.24,15.24
Jin,15466,8.98,24.22
j-hope,15112,8.77,32.99
Jung Kook,12440,7.22,40.21
Bad Bunny,10256,5.95,46.16
Jimin,8399,4.88,51.04
RM,8382,4.87,55.91
V,6823,3.96,59.87
Agust D,5861,3.4,63.27
Sabrina Carpenter,5321,3.09,66.36
