artist,listeners,pct_listeners,pct_acumulado
BTS,24678,15.08,15.08
Jin,13130,8.02,23.1
Jung Kook,12255,7.49,30.59
Bad Bunny,10734,6.56,37.15
j-hope,10479,6.4,43.55
Taylor Swift,10143,6.2,49.75
Jimin,9870,6.03,55.78
RM,7242,4.43,60.21
V,6071,3.71,63.92
Agust D,5355,3.27,67.19
