artist,listeners,pct_listeners,pct_acumulado
Jin,7313,12.27,12.27
j-hope,7275,12.2,24.47
Jung Kook,6746,11.32,35.79
Bad Bunny,6581,11.04,46.83
BTS,5780,9.7,56.53
Jimin,4740,7.95,64.48
KATSEYE,3901,6.54,71.02000000000001
V,3384,5.68,76.70000000000002
Taylor Swift,2944,4.94,81.64000000000001
Sabrina Carpenter,2100,3.52,85.16000000000001
