artist,listeners,pct_listeners,pct_acumulado
BTS,24621,15.06,15.06
Jin,13246,8.1,23.16
Jung Kook,12331,7.54,30.7
j-hope,10544,6.45,37.15
Bad Bunny,10036,6.14,43.29
Jimin,9948,6.08,49.37
Taylor Swift,9745,5.96,55.33
RM,7345,4.49,59.82
V,6119,3.74,63.56
Agust D,5436,3.32,66.88
