artist,listeners,pct_listeners,pct_acumulado
BTS,25412,15.5,15.5
Jin,14357,8.76,24.26
Jung Kook,12560,7.66,31.92
j-hope,10726,6.54,38.46
Bad Bunny,9319,5.69,44.15
Jimin,9110,5.56,49.71
RM,8133,4.96,54.67
Taylor Swift,7654,4.67,59.34
V,6247,3.81,63.15
Agust D,5501,3.36,66.51
